MOBILE_NUMBER,CERT_NO,NAME,CERT_TYPE,GENDER,AGE,INNET_DATE,AREA_ID,PAY_MODE,SERVICE_TYPE,GROUP_FLAG,USER_STATUS,STOP_MONTH,TOTAL_FEE_FIRST,OUT_FLUX_FEE_FIRST,OUT_CALL_FEE_FIRST,INTER_LONG_FEE_FIRST,INCR_FEE_FIRST,TOTAL_FEE_SECOND,OUT_FLUX_FEE_SECOND,OUT_CALL_FEE_SECOND,INTER_LONG_FEE_SECOND,TOTAL_FEE_THIRD,OUT_FLUX_FEE_THIRD,OUT_CALL_FEE_THIRD,INTER_LONG_FEE_THIRD,OUT_DURA_M1,OUT_NUM_M1,IN_DURA_M1,IN_NUM_M1,OUT_COUNROAM_NUM_M1,OUT_INTERROAM_NUM_M1,IN_COUNROAM_NUM_M1,IN_INTERROAM_NUM_M1,OUT_COUNLONG_NUM_M1,OUT_INTERLONG_NUM_M1,TOTAL_FLUX_M1,FREE_FLUX_M1,BILL_FLUX_M1,FACTORY_DESC,UP_TIME,DEV_CHANGE_NUM_Y1,WEIXIN_APP_NUM_M1,WX_VISIT_CNT_M1,WX_ACTIVE_MAX_DAYS_M1,GOUWU_APP_NUM_M1,GW_VISIT_CNT_M1,GW_ACTIVE_MAX_DAYS_M1,SJYH_APP_NUM_M1,SJYH_VISIT_CNT_M1,SJYH_ACTIVE_MAX_DAYS_M1,WAIMAI_APP_NUM_M1,WM_VISIT_CNT_M1,WM_ACTIVE_MAX_DAYS_M1,daikuan_app_num_m3,REAL_HOME_FLAG_M1,LIKE_HOME_FLAG_M1,REAL_WORK_FLAG_M1,LIKE_WORK_FLAG_M1,ST_NUM_M1,MONTH_ID,Y
13000000011,A00000011,A00000011,0101,2,29,05/10/2010,V0350400,01,200101AA,1,11,0,36.0,0.0,0,0.0,0,90.87,29.97,52.6,0.0,150.35,114.87,29.28,0.0,330.899997,366,255.05,315,0,0,0,0,26,0,2306.4942874,2306.4942874,0,奇酷,2017-12-27,4,1,7131,27,6,1961,26,1,1,1,1,6,3,2,0,0,0,0,31,201802,0
13000000012,A00000012,A00000012,0101,2,23,07/19/2017,V0142400,01,40AAAAAA,0,11,0,49.4,30.1,0,0.0,0.3,39.5,20.4,0.1,0.0,48.7,29.3,0.3,0.0,0,0,0.2166666667,1,0,0,1,0,0,0,11325.055158,10834.671845,490.38331317,华为,2017-07-19,1,1,37053,31,23,3813,28,3,57,11,0,,,8,1,1,1,1,162,201803,0
13000000013,A00000013,A00000013,0101,1,39,10/30/2013,V0340100,01,40AAAAAA,0,11,0,201.0,0.0,0,0.0,8.41,215.05,14.05,0,0.0,261.0,60.0,0,0.0,177.31666667,100,65.95,46,93,0,41,0,0,0,7762.4147672,7762.4147672,0,苹果,2017-01-21,1,1,3924,22,8,241,12,0,,,1,4,1,26,0,0,0,0,185,201802,0
13000000014,A00000014,A00000014,0101,1,23,09/04/2013,V0330800,01,200101AA,0,11,0,193.2,0.0,0,0.0,0,193.4,0.0,0,0.0,220.5,90.0,0,0.0,51.233334,55,142.216662,153,4,0,21,0,6,0,47444.217587,47444.217587,0,苹果,2017-12-08,2,1,17491,30,13,858,22,0,,,1,2,2,11,1,1,0,0,160,201801,0
13000000015,A00000015,A00000015,0101,1,30,04/24/2017,V0410400,01,40AAAAAA,0,11,0,299.0,0.0,0,0.0,0,299.0,0.0,0,0.0,299.0,0.0,0,0.0,262.61666667,226,244.15,237,5,0,5,0,31,0,10727.072371,10727.072371,0,苹果,2017-04-30,1,1,10720,15,15,1868,14,1,5,1,1,4,2,5,0,0,0,0,189,201803,0
13000000016,A00000016,A00000016,0101,2,25,01/12/2012,V0430600,01,30AAAAAA,0,11,0,115.0,30.0,0,0.0,6,128.41,46.21,0,0.0,122.0,40.0,0,0.0,65.983331,94,92.183332,129,94,0,129,0,0,0,1300.0667991,1176.3045864,123.76221275,苹果,2017-01-23,1,1,1643,25,18,529,15,0,,,1,5,1,4,0,1,1,1,120,201801,0
13000000017,A00000017,A00000017,0101,1,20,10/02/2012,V0440700,01,40AAAAAA,0,11,0,308.16,237.9,0,0.0,3,100.0,59.7,0,0.0,107.18,66.6,0,0.0,400.65,231,148.98333333,149,29,0,20,0,35,0,5169.0137148,4340.9468384,828.0668764,苹果,2018-01-07,1,1,32361,31,17,4625,31,2,317,6,1,164,4,8,0,1,0,0,264,201801,0
13000000018,A00000018,A00000018,0101,1,29,10/14/2010,V0460100,01,40AAAAAA,1,11,0,141.0,0.0,0,0.0,5,141.7,0.0,0,0.0,141.4,0.0,0,0.0,242.91666667,199,149.13333333,117,0,0,0,0,19,0,1652.1928825,1652.1928825,0,**,2015-09-15,1,1,23521,28,12,8106,28,0,,,0,,,4,1,1,0,0,358,201802,0
13000000019,A00000019,A00000019,0101,2,24,10/05/2013,V0522100,01,30AAAAAA,0,11,0,95.74,14.74,0,0.0,0,92.78,12.68,0,0.0,61.7,21.3,0,0.0,39.666666,59,50.399998,74,0,0,0,0,2,0,419.05863189,370.84854125,48.210090637,华为,2017-09-24,1,1,2464,19,7,90,6,0,,,0,,,5,0,0,0,0,22,201801,0
13000000020,A00000020,A00000020,0101,1,24,08/20/2017,V0610100,01,40AAAAAA,0,11,0,56.1,33.9,3.2,0.0,0,148.2,123.4,5.8,0.0,77.9,54.8,3.8,0.0,22.45,20,49.383333333,39,20,0,39,0,0,0,45658.190302,44491.848626,1166.3416767,苹果,2017-09-27,2,1,33926,22,9,3324,22,0,,,1,21,1,12,,,,,,201802,0
13000000021,A00000021,A00000021,0101,1,22,02/08/2015,V0510300,01,40AAAAAA,0,11,0,120.0,0.0,0,0.0,20,130.0,0.0,0,0.0,130.3,0.0,0,0.0,136.73333333,122,280.45,220,0,0,0,0,2,0,3587.8154583,3587.8154583,0,苹果,2017-12-08,1,1,10522,27,4,63,9,2,30,1,0,,,8,0,1,1,1,55,201802,0
13000000022,A00000022,A00000022,0101,2,30,06/24/2013,V0431000,01,40AAAAAA,0,11,0,120.2,60.0,0,0.0,0,60.19,0.0,0,0.0,60.78,0.0,0,0.0,160.16666667,137,214.06666667,151,31,0,42,0,23,0,5182.5239172,4837.1633558,345.36056138,维沃,2018-02-02,3,1,17669,29,10,1464,22,1,15,3,0,,,,0,0,0,0,207,201803,0
13000000023,A00000023,A00000023,0101,1,28,07/06/2017,V0453000,01,30AAAAAA,0,11,0,100.36,69.26,0,0.0,0,61.0,30.0,0,0.0,76.35,45.35,0,0.0,55.666668,20,13.599999,16,17,0,16,0,0,0,1837.3641166,1753.7640476,83.600069046,欧珀,2017-07-06,1,1,8047,20,7,582,13,0,,,1,82,4,13,0,1,0,0,116,201803,0
13000000024,A00000024,A00000024,0101,1,28,07/07/2012,V0350100,01,40AAAAAA,0,11,0,205.0,0.0,0,0.0,12.41,205.0,0.0,0,0.0,268.1,60.0,0.1,0.0,389.88333333,91,125.08333333,99,91,0,99,0,0,0,1172.9756469,1172.9756469,0,苹果,2017-04-27,1,1,7534,24,4,502,18,0,,,1,1,1,9,1,1,0,0,273,201801,0
13000000025,A00000025,A00000025,0101,1,31,01/30/2015,V0513100,01,40AAAAAA,0,211,1,106.0,0.0,0,0.0,0,106.0,0.0,0,0.0,101.9,0.0,0,0.0,0,0,1.45,1,0,0,1,0,0,0,,,,苹果,2017-10-18,2,,,,,,,,,,,,,,0,1,0,0,51,201802,0
13000000026,A00000026,A00000026,0101,2,24,07/31/2017,V0430400,01,40AAAAAA,0,11,0,80.2,31.1,25,0.0,4.9,88.4,31.1,23.8,0.0,90.9,32.0,35.9,0.0,188.13333333,117,101.38333333,105,0,0,0,0,17,0,16646.95625,16095.800661,551.1555891,欧珀,2018-02-12,2,1,83689,31,11,1834,22,6,1599,15,1,1,1,6,0,1,0,0,93,201803,0
13000000027,A00000027,A00000027,0101,2,31,08/08/2014,V0330500,01,40AAAAAA,0,11,0,136.58,0.0,0,0.0,9,136.58,0.0,0,0.0,136.48,0.0,0,0.0,349.61666667,261,502.66666667,446,56,0,101,0,77,0,3164.869049,3164.869049,0,苹果,2018-02-01,1,1,11776,24,11,623,18,3,16,1,0,,,8,0,1,0,0,386,201803,0
13000000028,A00000028,A00000028,0101,1,24,10/09/2017,V0310000,01,40AAAAAA,0,11,0,75.2,35.0,21.1,0.0,0,64.0,42.5,2.5,0.0,26.75,13.3,3.95,0.0,163.43333333,97,163.25,55,28,0,23,0,9,0,10749.792883,10079.06265,670.7302332,苹果,2017-10-09,1,1,24105,23,33,4260,23,2,10,3,2,27,10,13,0,1,0,1,63,201801,0
13000000029,A00000029,A00000029,0101,1,25,02/16/2017,V0131000,01,40AAAAAA,0,11,0,46.4,16.6,10.8,0.0,0,25.3,4.4,1.9,0.0,65.9,18.5,28.4,0.0,76.983333333,61,51.633333333,54,0,0,0,0,10,0,2809.1871051,2573.7340593,235.45304587,欧珀,2017-06-19,2,1,23,2,0,,,0,,,0,,,1,0,1,1,1,50,201803,0
13000000030,A00000030,A00000030,0101,1,24,10/04/2016,V0440300,05,200101AA,0,12,0,41.0,0.0,0,0.0,0.98,27.8,0.0,13.3,0.0,24.2,0.0,0,0.0,71.466667,22,24.016666,14,0,0,0,0,6,0,4828.2664756,4828.2664756,0,荣耀,2016-10-09,1,1,52778,31,7,3061,31,2,35,2,0,,,7,0,0,0,1,44,201801,0
13000000031,A00000031,A00000031,0101,2,27,08/01/2012,V0330200,01,40AAAAAA,0,11,0,109.0,10.0,0,0.0,8,99.1,0.0,0,0.0,99.0,0.0,0,0.0,25.116666667,46,134.88333333,93,0,0,0,0,1,0,3246.2953996,3205.7093162,40.58608341,苹果,2016-11-16,1,1,4133,19,9,491,11,0,,,2,21,1,4,0,1,1,1,245,201801,0
13000000032,A00000032,A00000032,0101,2,22,02/22/2016,V0440100,05,30AAAAAA,1,12,0,112.24,61.39,7.95,0.0,5.33,105.39,105.89,13.05,0.0,177.21,106.51,46.95,0.0,74.433329,71,114.216674,143,10,0,8,0,34,0,5808.1203603,5397.8541212,410.26623916,欧珀,2018-01-20,4,1,12481,31,7,769,24,1,8,1,0,,,13,0,1,1,1,129,201801,0
13000000033,A00000033,A00000033,0101,2,31,03/06/2018,V0320200,01,200101AA,0,11,0,110.6,0.0,0,0.0,0,,,,,,,,,36.35,35,140.11667,130,0,0,0,0,9,0,25448.798602,25448.798602,0,苹果,2018-03-06,1,1,41969,26,21,3396,26,3,32,4,1,2,1,,0,0,0,0,156,201803,0
13000000034,A00000034,A00000034,0101,1,32,12/06/2011,V0440600,01,40AAAAAA,0,11,0,251.3,55.2,0,0.0,0.1,207.84,0.0,0,0.0,161.05,0.0,0,0.0,50.466666667,45,49.483333333,53,11,0,9,0,1,0,20579.62117,20394.155287,185.46588325,华为,2018-01-09,1,1,31398,28,12,3784,26,4,273,7,0,,,25,0,1,0,0,126,201802,0
13000000035,A00000035,A00000035,0101,2,21,09/26/2016,V0342900,05,200101AA,0,11,0,163.7,0.0,24.6,0.0,0,210.0,60.0,11,0.0,164.2,0.0,24.8,0.0,74.933331,75,95.533335,85,0,0,0,0,5,0,31251.295898,31251.295898,0,苹果,2016-10-01,1,1,34554,30,27,5894,28,1,1,1,3,279,10,13,0,0,0,0,65,201803,0
13000000036,A00000036,A00000036,0101,2,47,09/02/2012,V0350100,01,40AAAAAA,0,11,0,86.2,0.0,0,0.0,0.2,86.2,0.0,0,0.0,90.66,0.0,4.56,0.0,73.5,61,100.4,188,0,0,0,0,0,0,1264.4997205,1264.4997205,0,**,2015-10-25,1,1,2235,25,6,272,22,1,9,1,0,,,7,1,1,0,1,95,201801,0
13000000037,A00000037,A00000037,0101,1,24,12/03/2011,V0320900,02,200101AA,1,11,0,76.62,50.0,17.42,0.0,5,65.09,50.0,6.09,0.0,64.42,50.0,5.32,0.0,158.4,139,181.866672,181,0,0,0,0,15,0,2059.4928503,2059.4928503,0,苹果,2017-02-16,1,1,7913,28,7,1851,28,2,125,10,0,,,,0,0,0,0,110,201802,0
13000000038,A00000038,A00000038,0101,1,49,07/07/2015,V0370100,01,40AAAAAA,0,11,0,41.32,0.0,0,0.0,0,41.1,0.0,0,0.0,26.76,0.0,0,0.0,22.3,27,72.733333333,47,0,0,0,0,1,0,3849.3789787,3849.3789787,0,维沃,2016-02-02,1,1,14101,30,7,920,22,0,,,1,35,5,2,0,1,0,1,40,201803,0
13000000039,A00000039,A00000039,0101,2,24,01/29/2018,V0310000,01,200101AA,0,11,0,0.8,0.0,0.6,0.0,0,,,,,,,,,2.85,2,11.35,3,0,0,0,0,1,0,,,,维沃,2018-01-29,3,,,,,,,,,,,,,,1,1,1,1,33,201801,0
13000000040,A00000040,A00000040,0101,2,34,06/18/2015,V0120000,01,40AAAAAA,0,11,0,139.0,0.0,0,0.0,2.45,169.5,90.0,0,0.0,115.88,0.0,31.08,0.0,242.8,198,169.76666667,154,0,0,0,0,0,0,15582.762172,15582.762172,0,苹果,2018-02-01,6,1,56638,28,14,4789,28,5,1246,18,1,7,1,3,1,1,0,1,302,201802,0
13000000041,A00000041,A00000041,0101,1,43,12/12/2009,V0522100,01,30AAAAAA,1,11,0,110.8,10.0,0,0.0,5,98.2,0.0,0,0.0,,,,,43.566667,10,71.983332,37,0,0,0,0,2,0,337.88989925,291.20770549,46.682193756,酷派,2018-01-30,6,1,742,3,3,22,2,0,,,0,,,,0,0,0,0,351,201801,0
13000000042,A00000042,A00000042,0101,2,26,01/15/2013,V0500000,01,30AAAAAA,1,11,0,279.4,0.0,0,0.0,5,279.8,0.0,0,0.0,279.5,0.0,0,0.0,78.3,113,87.299998,110,0,0,0,0,0,0,7490.8796043,4203.7739696,3287.1056346,苹果,2017-09-03,1,1,28040,31,19,8134,31,1,6,6,3,269,18,10,0,1,0,0,116,201803,0
13000000043,A00000043,A00000043,0101,1,27,02/25/2016,V0522900,01,30AAAAAA,1,11,0,75.55,0.0,11.55,0.0,0,31.8,0.0,7.8,0.0,24.2,0.0,0,0.0,367.050001,24,101.916665,49,24,0,49,0,0,0,772.99921035,772.99921035,0,欧珀,2017-08-12,1,1,3242,11,9,1045,7,2,12,1,2,33,3,2,0,1,0,0,34,201801,0
13000000044,A00000044,A00000044,0101,1,32,10/18/2016,V0440600,05,30AAAAAA,0,12,0,190.69,174.0,9.69,0.0,7,102.91,91.0,5.61,0.0,112.02,96.5,9.52,0.0,29.700001,46,36.083335,71,3,0,5,0,2,0,21481.037694,6899.6098232,14581.427871,苹果,2017-06-10,2,1,58304,31,10,3190,28,1,7,1,0,,,12,0,0,0,0,118,201803,0
13000000045,A00000045,A00000045,0101,1,24,03/31/2015,V0440600,05,30AAAAAA,1,12,0,50.0,0.0,0.4,0.0,2.11,50.0,0.0,0.9,0.0,62.65,0.0,0.9,0.0,11.016669,15,22.733332,28,0,0,0,0,0,0,1324.1494092,1324.1494092,0,苹果,2017-12-20,2,1,20145,31,7,1089,28,0,,,0,,,9,1,1,0,1,119,201803,0
13000000046,A00000046,A00000046,0101,2,28,05/29/2012,V0450100,01,40AAAAAA,0,11,0,143.0,0.0,0,0.0,0,143.0,0.0,0,0.0,143.0,0.0,0,0.0,36.333333333,23,140.18333333,121,1,0,4,0,0,0,3928.9377918,3928.9377918,0,苹果,2017-01-05,1,1,25369,31,17,2601,27,0,,,0,,,7,0,0,0,1,265,201801,0
13000000047,A00000047,A00000047,0101,2,37,10/10/2002,V0130400,01,40AAAAAA,0,11,0,11.27,0.0,0,0.0,0,24.57,0.0,0,0.0,30.34,0.0,0,0.0,177.6,132,110.05,123,0,0,0,0,0,0,1818.2996244,1818.2996244,0,欧珀,2017-06-03,2,1,59150,26,10,7830,26,1,123,4,0,,,6,1,1,0,0,389,201802,0
13000000048,A00000048,A00000048,0101,1,37,02/05/2017,V0372801,02,30AAAAAA,0,11,0,60.6,3.0,0,0.0,0,49.4,3.0,0,0.0,49.6,3.0,0,0.0,253.316672,162,119.383338,100,43,0,37,0,20,0,5571.3419198,5571.3419198,0,荣耀,2017-12-19,3,1,29782,31,11,4458,28,2,145,9,1,38,4,8,0,1,0,0,291,201803,0
13000000049,A00000049,A00000049,0101,1,30,05/22/2011,V0430100,01,40AAAAAA,0,11,0,201.0,0.0,0,0.0,3,316.0,120.0,0,0.0,199.0,0.0,0,0.0,300.05,176,380.96666667,273,13,0,31,0,56,0,13348.805672,13348.805672,0,锤子,2018-01-21,2,1,69149,31,14,15279,31,1,157,17,0,,,23,0,0,0,0,391,201801,0
13000000050,A00000050,A00000050,0101,2,43,09/05/2005,V0440100,01,40AAAAAA,1,11,0,150.0,24.0,0,0.0,0,186.0,50.0,0,0.0,196.0,60.0,0,0.0,166.58333333,169,92.8,138,13,0,15,0,25,0,3152.5865459,3077.4085636,75.177982329,苹果,2015-11-04,1,1,25004,31,9,1882,28,7,668,9,1,2,1,7,0,0,0,0,147,201803,0
13000000051,A00000051,A00000051,0101,2,29,02/01/2012,V0410100,01,40AAAAAA,0,11,0,165.9,75.9,0,0.0,0,90.0,0.0,0,0.0,152.8,62.7,0,0.0,54.45,52,113.21666667,98,0,0,0,0,5,0,2846.2302732,2593.2285241,253.00174903,苹果,2015-11-25,1,1,12556,31,8,483,27,0,,,1,58,7,16,0,1,0,1,284,201801,0
13000000052,A00000052,A00000052,0101,1,22,05/01/2013,V0412700,01,40AAAAAA,0,11,0,101.4,0.0,0.8,0.0,1.5,191.85,80.0,40.35,0.0,107.85,20.0,20.85,0.0,281.33333333,201,243.11666667,231,68,0,88,0,66,0,27505.553859,27505.553859,0,三星,2017-11-24,3,1,10181,21,16,1925,20,2,8,1,1,2,1,17,0,1,0,0,477,201802,0
13000000053,A00000053,A00000053,0101,1,26,06/20/2014,V0110000,01,40AAAAAA,0,11,0,113.16,22.16,0,0.0,15,124.0,30.0,3,0.0,80.95,0.0,4.95,0.0,165.21666667,62,238.73333333,89,62,0,89,0,0,0,9319.7706308,9245.4219255,74.348705299,Apple,2015-02-09,1,1,19661,31,11,1548,23,1,116,2,2,92,10,13,0,0,0,0,129,201803,0
13000000054,A00000054,A00000054,0101,1,25,08/01/2015,V0370100,01,40AAAAAA,0,11,0,77.5,0.0,0,0.0,0,28.0,0.0,0,0.0,47.0,0.0,0,0.0,51.183333333,31,44.516666667,31,31,0,31,0,0,0,1535.043045,1535.043045,0,荣耀,2017-10-05,4,1,9494,7,11,1870,5,0,,,1,24,1,6,0,0,0,0,99,201801,0
13000000055,A00000055,A00000055,0101,1,35,04/10/2008,V0370200,02,200101AA,0,11,0,71.36,48.3,5.3,0.0,2.8,35.02,15.17,2.1,0.0,32.98,11.86,2.6,0.0,105.333336,56,217.949998,134,0,0,0,0,0,0,181.83366775,2.272026062,179.56164169,华为,2017-12-25,4,1,1092,23,2,14,1,0,,,0,,,,0,0,0,0,253,201802,0
13000000056,A00000056,A00000056,0101,1,26,12/05/2015,V0310000,01,40AAAAAA,0,11,0,121.0,21.6,8.4,0.0,22.21,132.55,0.0,41.55,0.0,104.5,0.0,13.5,0.0,216.61666667,85,239.78333333,108,52,0,59,0,18,0,3390.1616554,3337.3428154,52.818840009,华为,2017-10-05,3,1,4341,5,8,263,4,1,2,1,1,5,2,1,0,0,0,0,192,201803,0
13000000057,A00000057,A00000057,0101,1,31,03/17/2014,V0500000,01,40AAAAAA,1,11,0,83.25,0.0,17.5,0.0,3,59.0,0.0,0,0.0,59.6,0.0,0,0.0,296.35,122,298.8,115,0,0,0,0,80,0,912.70203686,912.70203686,0,苹果,2016-05-01,1,1,6740,25,11,1472,24,1,4,1,1,3,2,5,1,1,0,1,107,201803,0
13000000058,A00000058,A00000058,0101,2,33,09/01/2013,V0630100,01,30AAAAAA,0,11,0,116.75,18.15,-1.4,0.0,1.4,100.23,0.83,0,0.0,139.4,0.0,0,0.0,297.516664,216,445.383336,217,86,0,71,0,8,0,11427.219434,11361.389405,65.830029487,苹果,2016-04-20,1,1,16943,30,11,2330,24,3,103,6,0,,,5,0,0,0,0,547,201803,0
13000000059,A00000059,A00000059,0101,1,31,02/14/2014,V0430700,02,200101AA,1,11,0,149.18,60.0,42.48,0.0,3,145.22,60.0,33.12,0.0,151.04,60.0,43.74,0.0,268.816666,149,280.966663,164,115,0,120,0,1,0,44509.015327,44509.015327,0,苹果,2017-10-15,1,1,32363,31,5,538,25,0,,,0,,,7,0,1,0,0,420,201803,0
13000000060,A00000060,A00000060,0101,1,48,01/22/2010,V0371200,01,40AAAAAA,0,11,0,1276.15,0.0,876.24,0.0,3,463.13,0.0,130.55,0.0,968.92,540.0,96.25,0.0,616.91666667,508,334.01666667,448,89,0,79,0,29,0,54610.187312,54588.642609,21.54470253,苹果,2018-01-10,4,1,46878,30,7,2668,29,1,988,11,0,,,10,0,0,0,0,371,201801,0
13000000061,A00000061,A00000061,0101,1,23,05/30/2016,V0310000,01,40AAAAAA,0,11,0,548.0,418.94,0,0.0,5.8,488.0,360.0,0,0.0,607.95,479.95,0,0.0,63.333333333,85,102.61666667,109,6,0,21,0,47,0,7500.4901113,6006.0718507,1494.4182605,荣耀,2017-11-27,3,1,36880,31,13,3677,30,2,9,3,1,38,12,8,0,0,0,1,210,201801,0
13000000062,A00000062,A00000062,0101,1,27,03/22/2013,V0520100,01,40AAAAAA,0,11,0,201.9,0.0,0.9,0.0,5,202.4,0.0,1.4,0.0,204.8,0.0,3.8,0.0,323.36666667,279,429.95,358,6,0,14,0,74,0,3859.7039527,3859.7039527,0,苹果,2015-11-12,1,1,4560,28,14,1274,22,4,5,2,0,,,11,1,1,0,0,535,201802,0
13000000063,A00000063,A00000063,0101,1,25,12/24/2017,V0130100,01,40AAAAAA,0,11,0,38.2,14.75,13.5,0.0,0.45,11.8,4.0,4.7,0.0,,,,,183.51666667,149,186.98333333,177,3,0,8,0,33,0,26700.802487,26192.58693,508.21555708,荣耀,2017-12-24,1,1,90913,25,10,10437,25,2,50,2,1,1,1,11,0,0,0,0,140,201801,0
13000000064,A00000064,A00000064,0101,1,24,01/20/2017,V0370100,02,30AAAAAA,0,11,0,99.2,0.0,0,0.0,0,163.33,90.23,0,0.0,76.0,3.0,0,0.0,117.866663,116,41.699999,52,0,0,0,0,2,0,4944.9773225,4944.9773225,0,苹果,2017-10-03,3,1,12875,29,7,276,13,1,67,2,1,2,1,1,1,1,0,0,325,201801,0
